code,answers
1,????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
2,????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
3,AAADBDBACAACABAAACCACCBCCABCACBADABACCDCCDBBBADCCBCDCCACBCACDDBCABDBBCBADBDCCBDCBABDABACCDADCBCCADCBCABDBAABDDCDCDBBACADCCCBABCBDCBAADDADCDCDADADBCBBCCABABADBCACDABCBABACDADCAACBDBDBAABACCDBBDACCDBACC
4,ADCBCCBBACCBCCBACAACCAACCACBCCABADDBBCADDAAABBDBACBACABDBADCDBBCBCBBCAACBCDABCDCBADCADCBDBDADBCDBDBCADDBADCBBBDCCADAACBACADDBDBCBADABCBADBDBADDCBDACBADCCDCDCCBBACBCAACBADBCDAAABADBCBDBACDCADABDBCADBCB
5,????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
6,????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
7,????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
8,????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
9,????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
10,????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
